iter	Logloss
0	0.6883300154
1	0.6846257771
2	0.6803558292
3	0.6763574018
4	0.6723807597
5	0.6691778143
6	0.6658422841
7	0.6621127881
8	0.6591384184
9	0.6562344515
10	0.6530472056
11	0.650157911
12	0.6473835059
13	0.6440697564
14	0.6408698879
15	0.6380533956
16	0.635403825
17	0.632727395
18	0.6297392608
19	0.6274138197
20	0.6250769982
21	0.622771227
22	0.6209011369
23	0.6185459724
24	0.6161188686
25	0.6138940585
26	0.6119299545
27	0.609773538
28	0.6081982773
29	0.6060459423
30	0.6042530623
31	0.6020055672
32	0.6001358632
33	0.5986990795
34	0.5967859725
35	0.5951788069
36	0.5936108928
37	0.591926694
38	0.5904861006
39	0.5885826282
40	0.5874466035
41	0.5859636713
42	0.5845761128
43	0.5828361799
44	0.5810355059
45	0.5792674247
46	0.577766794
47	0.5763980789
48	0.5753653849
49	0.5736750437
50	0.5722418037
51	0.5708835279
52	0.5696566103
53	0.5685597173
54	0.5671583453
55	0.5661452382
56	0.5646111951
57	0.5633431177
58	0.5623190427
59	0.5608546693
60	0.5596535077
61	0.5582578495
62	0.5572000104
63	0.556221276
64	0.5549502985
65	0.55372365
66	0.5522313508
67	0.5512295414
68	0.5504356169
69	0.5496289534
70	0.5487857157
71	0.5474032125
72	0.5464090608
73	0.5456320175
74	0.5447719519
75	0.5439237419
76	0.5430747646
77	0.5422597465
78	0.5411202086
79	0.5401652934
80	0.5390759108
81	0.5378699957
82	0.5367456745
83	0.5358293044
84	0.5352225533
85	0.5341177776
86	0.5331097028
87	0.5323943848
88	0.5314580013
89	0.5304812274
90	0.5296848874
91	0.5289412562
92	0.5281907037
93	0.5274209877
94	0.5267063328
95	0.5263027122
96	0.525555469
97	0.5250091913
98	0.5240484284
99	0.5233702325
100	0.5228653772
101	0.5222830313
102	0.52158494
103	0.5210480915
104	0.5202844742
105	0.519592899
106	0.5189987344
107	0.518265106
108	0.5172749437
109	0.5164872282
110	0.5158845155
111	0.5151332737
112	0.5145406347
113	0.5140122045
114	0.513182107
115	0.5123760104
116	0.5116438097
117	0.5106862027
118	0.5100017594
119	0.5092698472
120	0.5083204068
121	0.5078600416
122	0.506978661
123	0.5061982334
124	0.5051580085
125	0.5043432221
126	0.5036755107
127	0.5029695208
128	0.5026132996
129	0.5019281156
130	0.5011865381
131	0.50038274
132	0.4998613382
133	0.4992866336
134	0.4987467049
135	0.4983492097
136	0.4975930233
137	0.496522673
138	0.4958599322
139	0.4954563381
140	0.4951097093
141	0.4945660486
142	0.4938798453
143	0.4932546524
144	0.4927952946
145	0.4923071931
146	0.4916450077
147	0.4908437038
148	0.4901823225
149	0.4892726744
150	0.4885729999
151	0.4874988024
152	0.486800278
153	0.4859288335
154	0.4854763
155	0.4845018547
156	0.4839224741
157	0.4833911326
158	0.4827457113
159	0.4822940381
160	0.4818158149
161	0.4814926811
162	0.4807247104
163	0.480266543
164	0.4796250695
165	0.4790733337
166	0.4785560919
167	0.4781524985
168	0.4777286112
169	0.4769867809
170	0.4764983419
171	0.4760098807
172	0.475733951
173	0.475177138
174	0.474750292
175	0.4744246529
176	0.4739875844
177	0.4735334481
178	0.4730412649
179	0.4724265387
180	0.4719614855
181	0.4716216779
182	0.4711695273
183	0.4706793091
184	0.4701582178
185	0.4698097309
186	0.4694453862
187	0.4685556229
188	0.4681760151
189	0.4677029574
190	0.4674449478
191	0.4669608471
192	0.4666748395
193	0.4662038163
194	0.4659006321
195	0.4651707235
196	0.464613142
197	0.4641620894
198	0.4637526
199	0.4633849106
200	0.4631044209
201	0.4626366048
202	0.462249338
203	0.4618211569
204	0.461542783
205	0.4607479703
206	0.4603668592
207	0.4600402764
208	0.4596918659
209	0.4592495339
210	0.458979361
211	0.458640058
212	0.4580283493
213	0.4574013776
214	0.4570672484
215	0.4568132961
216	0.4564775497
217	0.4561781147
218	0.4554752307
219	0.454991567
220	0.4545904591
221	0.4541174533
222	0.4535451556
223	0.453319292
224	0.4531131543
225	0.4526790214
226	0.4524387238
227	0.4518480156
228	0.4516115821
229	0.4510799455
230	0.4506521306
231	0.4501293131
232	0.4497076845
233	0.4491607482
234	0.4483740077
235	0.4481626249
236	0.447653587
237	0.4469881478
238	0.4464017571
239	0.4458960978
240	0.4456635209
241	0.4450196168
242	0.4446577048
243	0.4443855363
244	0.4438613374
245	0.4434554893
246	0.4429420795
247	0.4422967736
248	0.4420801602
249	0.4416055331
250	0.4409634212
251	0.4406717727
252	0.4403961507
253	0.4399154515
254	0.439424796
255	0.4386881661
256	0.4384024096
257	0.4379574918
258	0.4375368158
259	0.4371319675
260	0.4366861648
261	0.436358497
262	0.4358568142
263	0.4355212849
264	0.4350148098
265	0.4346651887
266	0.4344255127
267	0.4340392308
268	0.4329963612
269	0.4325155352
270	0.4320076051
271	0.4313901234
272	0.4311344885
273	0.4308192961
274	0.430652145
275	0.4302448733
276	0.4297231938
277	0.4293118093
278	0.4291160483
279	0.4284131942
280	0.4281260372
281	0.4279136695
282	0.4277127577
283	0.4274172617
284	0.427006687
285	0.426455164
286	0.4262864783
287	0.4258989494
288	0.4253577415
289	0.4252181524
290	0.4247940107
291	0.4245851554
292	0.4240299473
293	0.4238230304
294	0.4235939279
295	0.4231572722
296	0.4227347358
297	0.4223047315
298	0.4218410801
299	0.4214322486
300	0.4209686459
301	0.4206559895
302	0.4203336401
303	0.4194944152
304	0.4189977099
305	0.4187604224
306	0.418106311
307	0.4175794761
308	0.4170683788
309	0.4167159229
310	0.4163099234
311	0.4157013419
312	0.4152501564
313	0.4149709957
314	0.4145174203
315	0.4142702956
316	0.4138593699
317	0.4133337738
318	0.4129795375
319	0.4124878147
320	0.4122056995
321	0.4118194083
322	0.4114036087
323	0.4111788026
324	0.410904488
325	0.4103875186
326	0.4099276177
327	0.4096204061
328	0.4093792525
329	0.4090704223
330	0.4086692783
331	0.4082134039
332	0.4079269844
333	0.4075841659
334	0.4072599688
335	0.4071030399
336	0.4069033986
337	0.4066950147
338	0.4064602007
339	0.4061392986
340	0.4056241245
341	0.4054097427
342	0.4052523996
343	0.4047884345
344	0.4045410709
345	0.404029066
346	0.4036979427
347	0.4025310766
348	0.4021193896
349	0.4018748438
350	0.4017049759
351	0.4011848541
352	0.4009300849
353	0.4007482941
354	0.4005314615
355	0.4001437159
356	0.3999330959
357	0.3994797601
358	0.3992151308
359	0.3989203023
360	0.3984872089
361	0.3978964677
362	0.3975257367
363	0.3971495951
364	0.3969607947
365	0.3965594148
366	0.3962362309
367	0.3954403165
368	0.3947996658
369	0.3945609798
370	0.3942078889
371	0.3938279628
372	0.3935752364
373	0.3932856264
374	0.3929352744
375	0.3925510448
376	0.3920558747
377	0.3916749075
378	0.3913770295
379	0.3908142372
380	0.3905545462
381	0.3899762174
382	0.3894657546
383	0.3890190933
384	0.3887921654
385	0.388345894
386	0.3880680858
387	0.3877739176
388	0.3870962299
389	0.3868858826
390	0.3864540465
391	0.3857194101
392	0.3854441814
393	0.3851273924
394	0.3848739615
395	0.3843753032
396	0.3839853332
397	0.3835987427
398	0.3831736558
399	0.3827301823
400	0.3825297823
401	0.3821549067
402	0.3816653757
403	0.3810738617
404	0.3807102587
405	0.3803431687
406	0.3800790296
407	0.3797954247
408	0.3793416731
409	0.3788083137
410	0.378544246
411	0.3780134701
412	0.3775615209
413	0.3770934187
414	0.3766072145
415	0.376283901
416	0.37592089
417	0.3754809592
418	0.3752171529
419	0.3747809313
420	0.374497935
421	0.3742838703
422	0.3739198333
423	0.3731163794
424	0.3727491576
425	0.3722779204
426	0.3718814262
427	0.3714168114
428	0.371111294
429	0.3708152492
430	0.3704613904
431	0.3699486865
432	0.3695389902
433	0.3692578312
434	0.3686012154
435	0.3682269546
436	0.3678060005
437	0.3673094618
438	0.3670109234
439	0.3665745289
440	0.366152329
441	0.3659212485
442	0.3656777368
443	0.3654655772
444	0.3649582887
445	0.3644773349
446	0.3640040668
447	0.3637397047
448	0.3633473732
449	0.3628412624
450	0.3624514908
451	0.3619837752
452	0.3613954999
453	0.3607882089
454	0.3605799324
455	0.360314201
456	0.359572375
457	0.3591081693
458	0.3588044417
459	0.3585567368
460	0.3583922059
461	0.3580973314
462	0.357885263
463	0.357475092
464	0.3571434403
465	0.3568101961
466	0.3564651532
467	0.356201885
468	0.3560181313
469	0.3557888576
470	0.3554235052
471	0.3551365608
472	0.3547414964
473	0.3544562721
474	0.3542108601
475	0.3539573659
476	0.3537359758
477	0.3534312518
478	0.3532090121
479	0.3528261665
480	0.3525746688
481	0.3519818787
482	0.351516729
483	0.3503859061
484	0.3500395225
485	0.349775108
486	0.3496172101
487	0.3492581146
488	0.3489958475
489	0.3483875002
490	0.3482455704
491	0.347817549
492	0.3472512681
493	0.3468739418
494	0.3466503898
495	0.345758965
496	0.3452892553
497	0.3451140905
498	0.3447319926
499	0.3441482791
500	0.343035207
501	0.3426735848
502	0.3425070585
503	0.3420312677
504	0.3417556557
505	0.3413435704
506	0.3406457262
507	0.3402711224
508	0.3397827283
509	0.3391820703
510	0.3389634502
511	0.3387549794
512	0.3380970525
513	0.3373050178
514	0.336697557
515	0.3364348495
516	0.3362153838
517	0.3355843898
518	0.3351426553
519	0.3345730518
520	0.3343395142
521	0.3341927169
522	0.3339272226
523	0.3333344416
524	0.333089505
525	0.3327226189
526	0.3322991305
527	0.3317866299
528	0.3314323999
529	0.3310242122
530	0.330623796
531	0.3302727905
532	0.3300535825
533	0.3295863706
534	0.3292336822
535	0.3287352447
536	0.3283734555
537	0.3278572574
538	0.3275973575
539	0.3272168138
540	0.3267844304
541	0.3263048796
542	0.3258228515
543	0.3254260192
544	0.3252225362
545	0.3248442324
546	0.3245589003
547	0.3242602994
548	0.3239889275
549	0.3236724649
550	0.3230658278
551	0.3228499223
552	0.3225571483
553	0.322351566
554	0.3218015613
555	0.3214935029
556	0.321039153
557	0.3208498629
558	0.3201844831
